name,archetype,smiles,pubchem_cid,molecular_formula,inchikey,structure_source,source_url,retrieved_utc,clinical_note,clinical_source,mw_da,clogp_rdkit,tpsa_a2,hbd,hba,rotatable_bonds,aromatic_rings,aromatic_atom_fraction,fsp3,aromatic_rings_le3,fsp3_ge042,ro5_violations,bro5_by_any_violation,largest_ring_atoms,unspecified_stereocenters,basic_pka_assumed,acidic_pka_assumed,basic_site_indices,basic_site_count,acidic_site_count,ionization_rules,ionization_source,logd74_approx,neutral_fraction_approx,cation_fraction_approx,charge_burden_approx,mpo_d_clogp,mpo_d_logd74,mpo_d_mw,mpo_d_tpsa,mpo_d_hbd,mpo_d_basic_pka,cns_mpo_approx,custom_mpo_logp_2_4,geometry_status,embedding_method,conformers_embedded,conformers_converged,imhb_vectors_mean,imhb_vectors_min,imhb_vectors_max,unpaired_donor_vectors_mean,unpaired_acceptor_sites_mean,chi_geometry_range_proxy,absolute_chameleonic_hb_index,volume_3d_a3,esp_ring_proxy_e_per_a,oral_d_solubility,oral_d_permeability,oral_d_herg_proxy,oral_d_polarity,oral_d_fsp3,oral_d_aromatic_rings,esol_logs_mol_l,solubility_ug_ml_esol,volume_used_a3,volume_method,charge_weighted_volume_proxy_a3,log10_caco2_papp_proxy,caco2_papp_proxy_1e_minus6_cm_s,desolvation_energy_proxy_kcal_mol,hia_percent_proxy,basic_n_aromatic_distance_min_bonds,basic_n_aromatic_3to8_bond_pairs,herg_topology_term,herg_esp_term,herg_esp_available,herg_liability_proxy,oral_developability_score_proxy,mpo_pka_sensitivity_min,mpo_pka_sensitivity_max,esol_domain_flag,admet_model_status,absolute_chi_status,clinical_outcome_used_in_scoring
Terfenadine,Toxic Dropouts,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,5405,C32H41NO2,GUGOEEXESWIERI-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Terfenadine/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5405,2026-09-10T05:33:09.331402+00:00,Historical withdrawal; hERG/QT liability and exposure-dependent interaction risk.,https://pubmed.ncbi.nlm.nih.gov/8772706/,471.685,6.4458,43.7,2,3,8,3,0.51428571,0.4375,True,True,1,True,6,1,9,,[14],1,0,aliphatic_amine,unvalidated_SMARTS_class_assumptions,4.8350258,0.024503368,0.97549663,0.97549663,0,0,0.20225,1,0.5,0.5,2.20225,2.20225,ok,ETKDGv3,6,6,0,0,0,2,2,0,,480.872,-0.085754696,0.080531893,0.88216461,0.02032628,1,1,1,-6.6778724,0.099032932,480.872,RDKit_grid_volume_first_converged_conformer,715.41651,0.76432921,5.8120483,0.92200495,84.962495,5,3,1,0,True,0.97967372,66.383713,1.7798948,2.70225,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Astemizole,Toxic Dropouts,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,2247,C28H31FN4O,GXDALQBWZGODGZ-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Astemizole/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/2247,2026-09-10T05:33:11.386416+00:00,Historical withdrawal; QT prolongation and ventricular arrhythmia risk.,https://pubchem.ncbi.nlm.nih.gov/compound/2247,458.581,5.3513,42.32,1,4,8,4,0.61764706,0.32142857,False,False,1,True,6,0,9,,"[10, 16, 18, 25]",4,0,aliphatic_amine;aniline_like;aromatic_n,unvalidated_SMARTS_class_assumptions,3.7405258,0.024503368,0.97549663,0.97549663,0,0.12973711,0.29585,1,0.83333333,0.5,2.7589204,3.0832704,ok,ETKDGv3,6,6,0,0,0,1,3,0,,430.608,-0.018228729,0.25410499,0.90123277,0.026361,1,0.76530612,0.66666667,-5.98358,0.47625115,430.608,RDKit_grid_volume_first_converged_conformer,640.63633,0.80246554,6.3454955,1.0658549,83.365942,0,8,1,0,True,0.973639,60.227859,2.7540781,3.1291833,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Cisapride,Toxic Dropouts,CO[C@H]1CN(CC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,6917698,C23H29ClFN3O4,DCSUBABJRXZOMT-IRLDBZIGSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Cisapride/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/6917698,2026-09-10T05:33:14.033900+00:00,Withdrawn or restricted in multiple markets; QT/arrhythmia liability.,https://pubchem.ncbi.nlm.nih.gov/compound/6917698,465.953,3.3581,86.05,2,6,9,2,0.375,0.43478261,True,True,0,False,6,0,9,,"[4, 19]",2,0,aliphatic_amine;aniline_like,unvalidated_SMARTS_class_assumptions,1.7473258,0.024503368,0.97549663,0.97549663,0.82095,1,0.24319286,1,0.5,0.5,4.0641429,4.2431929,ok,ETKDGv3,6,6,1,1,1,2,4,0,,413.92,0.086311692,0.6179971,0.64271505,0.21412688,1,1,1,-4.5280116,13.814352,413.92,RDKit_grid_volume_first_converged_conformer,615.80878,0.2854301,1.9294348,2.9070649,51.93518,1,2,1,0.34524677,True,0.78587312,74.58065,3.5641429,4.2337543,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Cerivastatin,Toxic Dropouts,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)/C=C/[C@H](C[C@H](CC(=O)O)O)O,446156,C26H34FNO5,SEERZIQQUAZTOL-ANMDKAQQSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Cerivastatin/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/446156,2026-09-10T05:33:16.374539+00:00,Historical withdrawal for rhabdomyolysis; not a hERG-positive label.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/21-366_Crestor_Admindocs_P1.pdf,459.558,4.8807,99.88,3,5,11,2,0.36363636,0.46153846,True,True,0,False,6,0,4.5,4.5,[8],1,1,aromatic_n;carboxylic_acid,unvalidated_SMARTS_class_assumptions,1.9796072,0.0012557616,0.0012573425,1,0.05965,1,0.28887143,0.67066667,0.16666667,1,3.1858548,3.6858548,ok,ETKDGv3,6,6,0.83333333,0,3,2.1666667,6.1666667,3,,438.656,0.0037266254,0.42320212,0.54897383,0.39601372,0.91018182,1,1,-5.3071915,2.2654205,438.656,RDKit_grid_volume_first_converged_conformer,657.984,0.097947665,1.2529902,2.98279,50.358536,0,1,0.5,0.014906502,True,0.60398628,71.306191,2.6982488,3.1858548,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Troglitazone,Toxic Dropouts,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,5591,C24H27NO5S,GXPHKUHSUJUWKP-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Troglitazone/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5591,2026-09-10T05:33:18.758954+00:00,Historical withdrawal for hepatotoxicity; not a hERG-positive label.,https://pubchem.ncbi.nlm.nih.gov/compound/5591,441.549,4.37426,84.86,2,6,5,2,0.38709677,0.41666667,True,False,0,False,6,2,,8.5,[],0,2,imide;phenol,unvalidated_SMARTS_class_assumptions,4.3410644,0.92641244,0,0.073587556,0.31287,0,0.41750714,1,0.5,1,3.2303771,3.7303771,ok,ETKDGv3,6,6,0,0,0,2,5,0,,395.696,-0.0082982361,0.4275402,0.8473773,0.58370899,1,0.99206349,1,-5.2898392,2.2653729,395.696,RDKit_grid_volume_first_converged_conformer,410.25515,0.6947546,4.9517031,1.2196033,81.512535,,0,0,0,True,0.41629101,80.844833,3.2303771,3.2303771,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Rofecoxib,Toxic Dropouts,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,5090,C17H14O4S,RZJQGNCSTQAWON-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Rofecoxib/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5090,2026-09-10T05:33:21.195382+00:00,Historical withdrawal for cardiovascular thrombotic risk; not a hERG-positive label.,https://pubchem.ncbi.nlm.nih.gov/compound/5090,314.362,2.5577,60.44,0,4,3,2,0.54545455,0.11764706,True,False,0,False,6,0,,,[],0,0,no_matched_site,unvalidated_SMARTS_class_assumptions,2.5577,1,0,0,1,0.72115,1,1,1,1,5.72115,5.72115,ok,ETKDGv3,5,5,0,0,0,0,4,0,,269.352,0.0052685875,0.84849206,1,0.83262428,1,0.28011204,1,-3.6060318,77.875039,269.352,RDKit_grid_volume_first_converged_conformer,269.352,1.0957805,12.467531,0.74369,86.76408,,0,0,0.02107435,True,0.16737572,82.68714,5.72115,5.72115,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Nefazodone,Toxic Dropouts,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,4449,C25H32ClN5O2,VRBKIVRKKCLPHA-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Nefazodone/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/4449,2026-09-10T05:33:23.476696+00:00,"Hepatotoxicity; withdrawn in some markets, not a universal withdrawal.",https://pubchem.ncbi.nlm.nih.gov/compound/4449,470.017,3.5519,55.53,0,5,10,3,0.51515152,0.44,True,True,0,False,6,0,9,,"[20, 23, 3, 4, 7]",5,0,aliphatic_amine;aniline_like;aromatic_n,unvalidated_SMARTS_class_assumptions,1.9411258,0.024503368,0.97549663,0.97549663,0.72405,1,0.21416429,1,1,0.5,4.4382143,4.7141643,ok,ETKDGv3,6,6,0,0,0,0,2,0,,435.408,-0.042731778,0.57174637,0.82088955,0.13592281,1,1,1,-4.7130145,9.1012081,435.408,RDKit_grid_volume_first_converged_conformer,647.77752,0.6417791,4.383077,1.7859249,73.335842,0,7,1,0,True,0.86407719,75.475979,3.9382143,4.5109257,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Benoxaprofen,Toxic Dropouts,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O,39941,C16H12ClNO3,MITFXPHMIHQXPI-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Benoxaprofen/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/39941,2026-09-10T05:33:25.960031+00:00,Historical withdrawal associated with hepatic toxicity.,https://pubchem.ncbi.nlm.nih.gov/compound/39941,301.729,4.3363,63.33,1,3,3,3,0.71428571,0.125,True,False,0,False,6,1,4.5,4.5,[10],1,1,aromatic_n;carboxylic_acid,unvalidated_SMARTS_class_assumptions,1.4352072,0.0012557616,0.0012573425,1,0.33185,1,1,1,0.83333333,1,5.1651833,5.6651833,ok,ETKDGv3,3,3,0,0,0,1,3,0,,254.328,0.044813919,0.55670994,0.82153806,0.45459792,1,0.29761905,1,-4.7731602,5.0869425,254.328,RDKit_grid_volume_first_converged_conformer,381.492,0.64307612,4.3961866,1.93236,70.882826,0,0,0,0.17925567,True,0.54540208,68.841083,4.9497773,5.1651833,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Ximelagatran,Toxic Dropouts,CCOC(=O)CN[C@H](C1CCCCC1)C(=O)N2CC[C@H]2C(=O)NCC3=CC=C(C=C3)/C(=N/O)/N,9574101,C24H35N5O5,ZXIBCJHYVWYIKI-PZJWPPBQSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Ximelagatran/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/9574101,2026-09-10T05:33:29.831130+00:00,Withdrawn after liver injury reports; not a hERG-positive label.,https://www.ema.europa.eu/en/medicines/human/EPAR/ximelagatran-36-mg-film-coated-tablets,473.574,1.0998,146.35,4,7,10,1,0.17647059,0.58333333,True,True,0,False,6,0,11.5,,"[31, 6]",2,0,aliphatic_amine;amidine_or_guanidine,unvalidated_SMARTS_class_assumptions,-3.0002345,7.9426514e-05,0.99992057,0.99992057,1,1,0.18875714,0,0,0,2.1887571,1.7386571,ok,ETKDGv3,6,6,1.1666667,1,2,3.8333333,3.8333333,1,,444.624,-0.08345044,1,0.26884983,0.77386393,0.48772727,1,1,-2.939621,544.21037,444.624,RDKit_grid_volume_first_converged_conformer,666.91834,-0.46230033,0.34490514,5.4286909,11.671539,2,1,0.5,0,True,0.22613607,75.507351,2.1887571,2.1887571,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Fialuridine,Toxic Dropouts,C1=C(C(=O)NC(=O)N1[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)F)I,50313,C9H10FIN2O5,IPVFGAYTKQKGBM-BYPJNBLXSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Fialuridine/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/50313,2026-09-10T05:33:33.343630+00:00,Investigational clinical failure with severe mitochondrial/hepatic toxicity.,https://pubmed.ncbi.nlm.nih.gov/7565947/,372.09,-1.2701,104.55,3,5,2,1,0.33333333,0.55555556,True,True,0,False,6,0,4.5,,[7],1,0,aromatic_n,unvalidated_SMARTS_class_assumptions,-1.2706464,0.99874266,0.0012573425,0.0012573425,1,1,0.91364286,0.515,0.16666667,1,4.5953095,3.5953095,ok,ETKDGv3,4,4,0.75,0,1,2.25,5.25,1,,226.216,0,1,0.80000309,0.99173301,0.86772727,1,1,-1.4614617,12858.382,226.216,RDKit_grid_volume_first_converged_conformer,226.35822,0.60000618,3.9811283,3.446666,40.80043,0,0,0,0,True,0.0082669856,94.32439,4.5953095,4.5953095,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Cyclosporine A,bRo5 Modalities,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,5284373,C62H111N11O12,PMATZTZNYRCHOR-CGLBZJNRSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cyclosporine/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5284373,2026-09-10T05:33:35.225066+00:00,Oral cyclic peptide; formulation-dependent exposure.,https://pubchem.ncbi.nlm.nih.gov/compound/5284373,1202.635,3.269,278.8,5,12,15,0,0,0.79032258,True,True,2,True,33,0,,,[],0,0,no_matched_site,unvalidated_SMARTS_class_assumptions,3.269,1,0,0,0.8655,0.3655,0,0,0,1,2.231,2.3655,partial_convergence,ETKDGv3,6,3,2.3333333,2,3,2.6666667,9.6666667,1,,1207.456,0,0,0,0.89203517,0,1,1,-8.365807,0.0051799652,1207.456,RDKit_grid_volume_first_converged_conformer,1207.456,-1.8177375,0.015214668,6.7393,4.2448687,,0,0,0,True,0.10796483,48.200586,2.231,2.231,extrapolation_caution,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Venetoclax,bRo5 Modalities,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,49846579,C45H50ClN7O7S,LQBVNQSMGBZMKD-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Venetoclax/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/49846579,2026-09-10T05:33:37.635967+00:00,Oral nonmacrocyclic BCL-2 inhibitor; amorphous dispersion and food effects.,https://pmc.ncbi.nlm.nih.gov/articles/PMC9338003/,868.457,8.6599,172.03,3,11,13,5,0.44262295,0.37777778,False,False,3,True,6,0,9,7,"[15, 18, 39, 47, 53]",5,1,aliphatic_amine;aniline_like;aromatic_n;sulfonamide,unvalidated_SMARTS_class_assumptions,6.5035853,0.0069772665,0.97549663,1.6907494,0,0,0,0,0.16666667,0.5,0.66666667,0.66666667,ok,ETKDGv3,6,6,0.83333333,0,1,2.1666667,5.1666667,1,,762.968,0.19924364,0,0,0.001325792,0.25427273,0.8994709,0.33333333,-10.149711,6.152292e-05,762.968,RDKit_grid_volume_first_converged_conformer,1407.9618,-1.1582836,0.069457058,4.6889041,19.66413,0,10,1,0.79697458,True,0.99867421,24.806713,0.16666667,1.1666667,extrapolation_caution,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
ARV-110,bRo5 Modalities,C1CC(CCC1NC(=O)C2=NN=C(C=C2)N3CCC(CC3)CN4CCN(CC4)C5=C(C=C6C(=C5)C(=O)N(C6=O)C7CCC(=O)NC7=O)F)OC8=CC(=C(C=C8)C#N)Cl,134414307,C41H43ClFN9O6,CLCTZVRHDOAUGJ-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/bavdegalutamide/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/134414307,2026-09-10T05:33:39.632677+00:00,"Bavdegalutamide; investigational oral PROTAC reference, not an approved-drug claim. PubChem record leaves stereochemistry unspecified.",https://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?sid=441604884,812.303,3.70058,181.17,2,12,9,3,0.31034483,0.46341463,True,True,2,True,6,1,9,8.5,"[22, 15, 25, 10, 11]",5,1,aliphatic_amine;aniline_like;aromatic_n;imide,unvalidated_SMARTS_class_assumptions,2.0566102,0.022700225,0.97549663,1.0490842,0.64971,0.97169492,0,0,0.5,0.5,2.6214049,2.9716949,ok,ETKDGv3,6,6,0.16666667,0,1,1.8333333,8.8333333,1,,701.712,0.12864078,0.039175207,0.0051504265,0.11082992,0.17118182,1,1,-6.8432992,0.11652494,701.712,RDKit_grid_volume_first_converged_conformer,1069.7895,-0.98969915,0.10240021,5.2927023,12.891512,0,2,1,0.51456314,True,0.88917008,38.77229,2.14971,2.7750323,extrapolation_caution,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Rifampicin,bRo5 Modalities,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C,135398735,C43H58N4O12,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Rifampicin/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/135398735,2026-09-10T05:33:41.430105+00:00,Oral ansamycin macrocycle.,https://pubchem.ncbi.nlm.nih.gov/compound/135398735,822.953,4.33542,220.15,6,15,4,2,0.16949153,0.53488372,True,True,3,True,24,0,9,10,[54],1,3,aliphatic_amine;phenol,unvalidated_SMARTS_class_assumptions,2.7235562,0.024441972,0.97549663,0.97800223,0.33229,0.63822188,0,0,0,0.5,1.4705119,1.9705119,ok,ETKDGv3,6,6,2.6666667,1,3,3.3333333,9.3333333,2,,753.008,0.20107613,0,0,0.10918286,0,1,1,-7.5350469,0.024006459,753.008,RDKit_grid_volume_first_converged_conformer,1121.2297,-1.4417588,0.036161065,6.5701273,4.8563251,6,2,1,0.80430451,True,0.89081714,35.153048,1.33229,1.5186285,extrapolation_caution,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Paclitaxel,bRo5 Modalities,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,36314,C47H51NO14,RCINICONZNJXQF-MZXODVADSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Paclitaxel/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/36314,2026-09-10T05:33:43.525737+00:00,"Taxane; conventional systemic products are intravenous. Included as a challenging bRo5 counterexample, not an oral success.",https://pubchem.ncbi.nlm.nih.gov/compound/36314,853.918,3.7357,221.29,4,14,10,3,0.29032258,0.44680851,True,True,2,True,8,0,,,[],0,0,no_matched_site,unvalidated_SMARTS_class_assumptions,3.7357,1,0,0,0.63215,0.13215,0,0,0,1,1.7643,2.13215,partial_convergence,ETKDGv3,6,5,2.2,1,3,1.8,11.8,2,,762.488,-0.0480602,0,0,0.57077406,0,1,1,-7.0426213,0.077409606,762.488,RDKit_grid_volume_first_converged_conformer,762.488,-1.0377803,0.091668412,5.01154,15.758824,,0,0,0,True,0.42922594,42.846234,1.7643,1.7643,extrapolation_caution,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Tacrolimus,bRo5 Modalities,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,445643,C44H69NO12,QJJXYPPXXYFBGM-LFZNUXCKSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Tacrolimus/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/445643,2026-09-10T05:33:45.471094+00:00,Oral macrocyclic immunosuppressant.,https://pubchem.ncbi.nlm.nih.gov/compound/445643,804.031,4.639,178.36,3,12,7,0,0,0.77272727,True,True,2,True,21,0,,,[],0,0,no_matched_site,unvalidated_SMARTS_class_assumptions,4.639,1,0,0,0.1805,0,0,0,0.16666667,1,1.3471667,1.8471667,ok,ETKDGv3,6,6,1,1,1,2,11,0,,783.016,0,0,0.23609389,0.76000374,0.19672727,1,1,-7.2855622,0.041659168,783.016,RDKit_grid_volume_first_converged_conformer,783.016,-0.52781222,0.29661136,3.5173,39.386767,,0,0,0,True,0.23999626,53.213748,1.3471667,1.3471667,extrapolation_caution,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Sirolimus,bRo5 Modalities,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,5284616,C51H79NO13,QFJCIRLUMZQUOT-HPLJOQBZSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Sirolimus/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5284616,2026-09-10T05:33:47.078922+00:00,Oral macrocyclic immunosuppressant.,https://pubchem.ncbi.nlm.nih.gov/compound/5284616,914.187,6.1806,195.43,3,13,6,0,0,0.74509804,True,True,3,True,29,0,,,[],0,0,no_matched_site,unvalidated_SMARTS_class_assumptions,6.1806,1,0,0,0,0,0,0,0.16666667,1,1.1666667,1.1666667,partial_convergence,ETKDGv3,6,5,0.8,0,1,2.2,12.2,1,,896.784,0,0,0.12041752,0.51838671,0.041545455,1,1,-9.0057374,0.00090218924,896.784,RDKit_grid_volume_first_converged_conformer,896.784,-0.75916497,0.17411454,3.48157,40.099804,,0,0,0,True,0.48161329,44.672495,1.1666667,1.1666667,extrapolation_caution,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Erythromycin,bRo5 Modalities,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,12560,C37H67NO13,ULGZDMOVFRHVEP-RWJQBGPGSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Erythromycin/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/12560,2026-09-10T05:33:49.385322+00:00,Oral macrolide antibacterial.,https://pubchem.ncbi.nlm.nih.gov/compound/12560,733.937,1.7856,193.91,5,14,7,0,0,0.94594595,True,True,2,True,14,0,9,,[40],1,0,aliphatic_amine,unvalidated_SMARTS_class_assumptions,0.17482577,0.024503368,0.97549663,0.97549663,1,1,0,0,0,0.5,2.5,2.3928,ok,ETKDGv3,6,6,1.6666667,1,2,3.3333333,11.333333,1,,710.032,0,0.48666565,0,0.84380748,0.055363636,1,1,-5.0533374,6.4911461,710.032,RDKit_grid_volume_first_converged_conformer,1056.3489,-1.1143526,0.076850628,6.5253149,5.0318089,,0,0,0,True,0.15619252,56.430613,2,3,extrapolation_caution,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
