compound,concentration_uM,time_h,relative_activity,evidence
Clarithromycin,0.1,0.56,0.9880717128619305,noise_free_synthetic_assay
Clarithromycin,0.1,0.6,0.9872251571123429,noise_free_synthetic_assay
Clarithromycin,0.1,0.64,0.9863793266710784,noise_free_synthetic_assay
Clarithromycin,0.1,0.68,0.9855342209167105,noise_free_synthetic_assay
Clarithromycin,0.1,0.72,0.9846898392283452,noise_free_synthetic_assay
Clarithromycin,0.1,0.76,0.9838461809856204,noise_free_synthetic_assay
Clarithromycin,0.1,0.8,0.9830032455687053,noise_free_synthetic_assay
Clarithromycin,0.1,0.84,0.9821610323583008,noise_free_synthetic_assay
Clarithromycin,0.1,0.88,0.9813195407356375,noise_free_synthetic_assay
Clarithromycin,0.1,0.92,0.980478770082477,noise_free_synthetic_assay
Clarithromycin,0.1,0.96,0.9796387197811098,noise_free_synthetic_assay
Clarithromycin,0.1,1.0,0.9787993892143566,noise_free_synthetic_assay
Clarithromycin,0.1,1.04,0.9779607777655659,noise_free_synthetic_assay
Clarithromycin,0.1,1.08,0.9771228848186151,noise_free_synthetic_assay
Clarithromycin,0.1,1.12,0.9762857097579093,noise_free_synthetic_assay
Clarithromycin,0.1,1.16,0.9754492519683812,noise_free_synthetic_assay
Clarithromycin,0.1,1.2,0.9746135108354902,noise_free_synthetic_assay
Clarithromycin,0.1,1.24,0.9737784857452224,noise_free_synthetic_assay
Clarithromycin,0.1,1.28,0.9729441760840901,noise_free_synthetic_assay
Clarithromycin,0.1,1.32,0.9721105812391309,noise_free_synthetic_assay
Clarithromycin,0.1,1.36,0.9712777005979076,noise_free_synthetic_assay
Clarithromycin,0.1,1.4000000000000001,0.9704455335485082,noise_free_synthetic_assay
Clarithromycin,0.1,1.44,0.9696140794795444,noise_free_synthetic_assay
Clarithromycin,0.1,1.48,0.9687833377801519,noise_free_synthetic_assay
Clarithromycin,0.1,1.52,0.96795330783999,noise_free_synthetic_assay
Clarithromycin,0.1,1.56,0.9671239890492407,noise_free_synthetic_assay
Clarithromycin,0.1,1.6,0.9662953807986084,noise_free_synthetic_assay
Clarithromycin,0.1,1.6400000000000001,0.9654674824793198,noise_free_synthetic_assay
Clarithromycin,0.1,1.68,0.9646402934831231,noise_free_synthetic_assay
Clarithromycin,0.1,1.72,0.9638138132022872,noise_free_synthetic_assay
Clarithromycin,0.1,1.76,0.9629880410296024,noise_free_synthetic_assay
Clarithromycin,0.1,1.8,0.962162976358379,noise_free_synthetic_assay
Clarithromycin,0.1,1.84,0.9613386185824466,noise_free_synthetic_assay
Clarithromycin,0.1,1.8800000000000001,0.9605149670961549,noise_free_synthetic_assay
Clarithromycin,0.1,1.92,0.9596920212943719,noise_free_synthetic_assay
Clarithromycin,0.1,1.96,0.9588697805724845,noise_free_synthetic_assay
Clarithromycin,0.1,2.0,0.9580482443263975,noise_free_synthetic_assay
Clarithromycin,0.1,2.04,0.9572274119525329,noise_free_synthetic_assay
Clarithromycin,0.1,2.08,0.9564072828478305,noise_free_synthetic_assay
Clarithromycin,0.1,2.12,0.9555878564097462,noise_free_synthetic_assay
Clarithromycin,0.1,2.16,0.9547691320362525,noise_free_synthetic_assay
Clarithromycin,0.1,2.2,0.9539511091258375,noise_free_synthetic_assay
Clarithromycin,0.1,2.24,0.9531337870775047,noise_free_synthetic_assay
Clarithromycin,0.1,2.2800000000000002,0.9523171652907727,noise_free_synthetic_assay
Clarithromycin,0.1,2.32,0.9515012431656744,noise_free_synthetic_assay
Clarithromycin,0.1,2.36,0.9506860201027567,noise_free_synthetic_assay
Clarithromycin,0.1,2.4,0.9498714955030801,noise_free_synthetic_assay
Clarithromycin,0.1,2.44,0.9490576687682186,noise_free_synthetic_assay
Clarithromycin,0.1,2.48,0.9482445393002584,noise_free_synthetic_assay
Clarithromycin,0.1,2.52,0.9474321065017983,noise_free_synthetic_assay
Clarithromycin,0.1,2.56,0.9466203697759489,noise_free_synthetic_assay
Clarithromycin,0.1,2.6,0.945809328526332,noise_free_synthetic_assay
Clarithromycin,0.1,2.64,0.9449989821570808,noise_free_synthetic_assay
Clarithromycin,0.1,2.68,0.9441893300728385,noise_free_synthetic_assay
Clarithromycin,0.1,2.72,0.9433803716787587,noise_free_synthetic_assay
Clarithromycin,0.1,2.7600000000000002,0.9425721063805047,noise_free_synthetic_assay
Clarithromycin,0.1,2.8000000000000003,0.9417645335842487,noise_free_synthetic_assay
Clarithromycin,0.1,2.84,0.9409576526966721,noise_free_synthetic_assay
Clarithromycin,0.1,2.88,0.9401514631249642,noise_free_synthetic_assay
Clarithromycin,0.1,2.92,0.9393459642768225,noise_free_synthetic_assay
Clarithromycin,0.1,2.96,0.9385411555604519,noise_free_synthetic_assay
Clarithromycin,0.1,3.0,0.9377370363845645,noise_free_synthetic_assay
Clarithromycin,0.1,3.04,0.9369336061583785,noise_free_synthetic_assay
Clarithromycin,0.1,3.08,0.9361308642916188,noise_free_synthetic_assay
Clarithromycin,0.1,3.12,0.9353288101945159,noise_free_synthetic_assay
Clarithromycin,0.1,3.16,0.9345274432778052,noise_free_synthetic_assay
Clarithromycin,0.1,3.2,0.9337267629527277,noise_free_synthetic_assay
Clarithromycin,0.1,3.24,0.9329267686310282,noise_free_synthetic_assay
Clarithromycin,0.1,3.2800000000000002,0.9321274597249558,noise_free_synthetic_assay
Clarithromycin,0.1,3.3200000000000003,0.9313288356472631,noise_free_synthetic_assay
Clarithromycin,0.1,3.36,0.9305308958112057,noise_free_synthetic_assay
Clarithromycin,0.1,3.4,0.9297336396305423,noise_free_synthetic_assay
Clarithromycin,0.1,3.44,0.9289370665195334,noise_free_synthetic_assay
Clarithromycin,0.1,3.48,0.9281411758929419,noise_free_synthetic_assay
Clarithromycin,0.1,3.52,0.9273459671660313,noise_free_synthetic_assay
Clarithromycin,0.1,3.56,0.9265514397545671,noise_free_synthetic_assay
Clarithromycin,0.1,3.6,0.9257575930748145,noise_free_synthetic_assay
Clarithromycin,0.1,3.64,0.9249644265435393,noise_free_synthetic_assay
Clarithromycin,0.1,3.68,0.9241719395780068,noise_free_synthetic_assay
Clarithromycin,0.1,3.72,0.9233801315959816,noise_free_synthetic_assay
Clarithromycin,0.1,3.7600000000000002,0.9225890020157275,noise_free_synthetic_assay
Clarithromycin,0.1,3.8000000000000003,0.921798550256006,noise_free_synthetic_assay
Clarithromycin,0.1,3.84,0.9210087757360772,noise_free_synthetic_assay
Clarithromycin,0.1,3.88,0.9202196778756986,noise_free_synthetic_assay
Clarithromycin,0.1,3.92,0.9194312560951247,noise_free_synthetic_assay
Clarithromycin,0.1,3.96,0.9186435098151068,noise_free_synthetic_assay
Clarithromycin,0.1,4.0,0.9178564384568926,noise_free_synthetic_assay
Clarithromycin,0.5,0.0,1.0,noise_free_synthetic_assay
Clarithromycin,0.5,0.04,0.9964064722309933,noise_free_synthetic_assay
Clarithromycin,0.5,0.08,0.9928258579038134,noise_free_synthetic_assay
Clarithromycin,0.5,0.12,0.9892581106136482,noise_free_synthetic_assay
Clarithromycin,0.5,0.16,0.985703184122443,noise_free_synthetic_assay
Clarithromycin,0.5,0.2,0.9821610323583008,noise_free_synthetic_assay
Clarithromycin,0.5,0.24,0.9786316094148849,noise_free_synthetic_assay
Clarithromycin,0.5,0.28,0.9751148695508249,noise_free_synthetic_assay
Clarithromycin,0.5,0.32,0.9716107671891228,noise_free_synthetic_assay
Clarithromycin,0.5,0.36,0.9681192569165628,noise_free_synthetic_assay
Clarithromycin,0.5,0.4,0.9646402934831231,noise_free_synthetic_assay
Clarithromycin,0.5,0.44,0.9611738318013887,noise_free_synthetic_assay
Clarithromycin,0.5,0.48,0.9577198269459679,noise_free_synthetic_assay
Clarithromycin,0.5,0.52,0.9542782341529094,noise_free_synthetic_assay
Clarithromycin,0.5,0.56,0.9508490088191223,noise_free_synthetic_assay
Clarithromycin,0.5,0.6,0.9474321065017983,noise_free_synthetic_assay
Clarithromycin,0.5,0.64,0.9440274829178357,noise_free_synthetic_assay
Clarithromycin,0.5,0.68,0.9406350939432649,noise_free_synthetic_assay
Clarithromycin,0.5,0.72,0.9372548956126777,noise_free_synthetic_assay
Clarithromycin,0.5,0.76,0.9338868441186561,noise_free_synthetic_assay
Clarithromycin,0.5,0.8,0.9305308958112057,noise_free_synthetic_assay
Clarithromycin,0.5,0.84,0.9271870071971895,noise_free_synthetic_assay
Clarithromycin,0.5,0.88,0.9238551349397643,noise_free_synthetic_assay
Clarithromycin,0.5,0.92,0.9205352358578188,noise_free_synthetic_assay
Clarithromycin,0.5,0.96,0.9172272669254148,noise_free_synthetic_assay
Clarithromycin,0.5,1.0,0.9139311852712282,noise_free_synthetic_assay
Clarithromycin,0.5,1.04,0.9106469481779949,noise_free_synthetic_assay
Clarithromycin,0.5,1.08,0.9073745130819562,noise_free_synthetic_assay
Clarithromycin,0.5,1.12,0.9041138375723072,noise_free_synthetic_assay
Clarithromycin,0.5,1.16,0.900864879390648,noise_free_synthetic_assay
Clarithromycin,0.5,1.2,0.8976275964304349,noise_free_synthetic_assay
Clarithromycin,0.5,1.24,0.8944019467364355,noise_free_synthetic_assay
Clarithromycin,0.5,1.28,0.8911878885041844,noise_free_synthetic_assay
Clarithromycin,0.5,1.32,0.8879853800794423,noise_free_synthetic_assay
Clarithromycin,0.5,1.36,0.8847943799576549,noise_free_synthetic_assay
Clarithromycin,0.5,1.4000000000000001,0.8816148467834161,noise_free_synthetic_assay
Clarithromycin,0.5,1.44,0.8784467393499313,noise_free_synthetic_assay
Clarithromycin,0.5,1.48,0.875290016598484,noise_free_synthetic_assay
Clarithromycin,0.5,1.52,0.8721446376179031,noise_free_synthetic_assay
Clarithromycin,0.5,1.56,0.8690105616440329,noise_free_synthetic_assay
Clarithromycin,0.5,1.6,0.865887748059205,noise_free_synthetic_assay
Clarithromycin,0.5,1.6400000000000001,0.8627761563917117,noise_free_synthetic_assay
Clarithromycin,0.5,1.68,0.8596757463152812,noise_free_synthetic_assay
Clarithromycin,0.5,1.72,0.8565864776485558,noise_free_synthetic_assay
Clarithromycin,0.5,1.76,0.8535083103545701,noise_free_synthetic_assay
Clarithromycin,0.5,1.8,0.850441204540233,noise_free_synthetic_assay
Clarithromycin,0.5,1.84,0.8473851204558103,noise_free_synthetic_assay
Clarithromycin,0.5,1.8800000000000001,0.8443400184944092,noise_free_synthetic_assay
Clarithromycin,0.5,1.92,0.841305859191466,noise_free_synthetic_assay
Clarithromycin,0.5,1.96,0.8382826032242334,noise_free_synthetic_assay
Clarithromycin,0.5,2.0,0.835270211411272,noise_free_synthetic_assay
Clarithromycin,0.5,2.04,0.8322686447119416,noise_free_synthetic_assay
Clarithromycin,0.5,2.08,0.8292778642258957,noise_free_synthetic_assay
Clarithromycin,0.5,2.12,0.8262978311925774,noise_free_synthetic_assay
Clarithromycin,0.5,2.16,0.8233285069907169,noise_free_synthetic_assay
Clarithromycin,0.5,2.2,0.8203698531378311,noise_free_synthetic_assay
Clarithromycin,0.5,2.24,0.8174218312897243,noise_free_synthetic_assay
Clarithromycin,0.5,2.2800000000000002,0.8144844032399924,noise_free_synthetic_assay
Clarithromycin,0.5,2.32,0.8115575309195268,noise_free_synthetic_assay
Clarithromycin,0.5,2.36,0.808641176396021,noise_free_synthetic_assay
Clarithromycin,0.5,2.4,0.8057353018734796,noise_free_synthetic_assay
Clarithromycin,0.5,2.44,0.8028398696917284,noise_free_synthetic_assay
Clarithromycin,0.5,2.48,0.7999548423259255,noise_free_synthetic_assay
Clarithromycin,0.5,2.52,0.7970801823860759,noise_free_synthetic_assay
Clarithromycin,0.5,2.56,0.7942158526165467,noise_free_synthetic_assay
Clarithromycin,0.5,2.6,0.7913618158955839,noise_free_synthetic_assay
Clarithromycin,0.5,2.64,0.7885180352348315,noise_free_synthetic_assay
Clarithromycin,0.5,2.68,0.7856844737788526,noise_free_synthetic_assay
Clarithromycin,0.5,2.72,0.7828610948046509,noise_free_synthetic_assay
Clarithromycin,0.5,2.7600000000000002,0.7800478617211956,noise_free_synthetic_assay
Clarithromycin,0.5,2.8000000000000003,0.7772447380689461,noise_free_synthetic_assay
Clarithromycin,0.5,2.84,0.7744516875193811,noise_free_synthetic_assay
Clarithromycin,0.5,2.88,0.7716686738745262,noise_free_synthetic_assay
Clarithromycin,0.5,2.92,0.7688956610664855,noise_free_synthetic_assay
Clarithromycin,0.5,2.96,0.7661326131569745,noise_free_synthetic_assay
Clarithromycin,0.5,3.0,0.7633794943368531,noise_free_synthetic_assay
Clarithromycin,0.5,3.04,0.7606362689256635,noise_free_synthetic_assay
Clarithromycin,0.5,3.08,0.7579029013711654,noise_free_synthetic_assay
Clarithromycin,0.5,3.12,0.7551793562488776,noise_free_synthetic_assay
Clarithromycin,0.5,3.16,0.7524655982616166,noise_free_synthetic_assay
Clarithromycin,0.5,3.2,0.7497615922390413,noise_free_synthetic_assay
Clarithromycin,0.5,3.24,0.7470673031371956,noise_free_synthetic_assay
Clarithromycin,0.5,3.2800000000000002,0.7443826960380553,noise_free_synthetic_assay
Clarithromycin,0.5,3.3200000000000003,0.7417077361490745,noise_free_synthetic_assay
Clarithromycin,0.5,3.36,0.7390423888027358,noise_free_synthetic_assay
Clarithromycin,0.5,3.4,0.7363866194561001,noise_free_synthetic_assay
Clarithromycin,0.5,3.44,0.7337403936903597,noise_free_synthetic_assay
Clarithromycin,0.5,3.48,0.7311036772103915,noise_free_synthetic_assay
Clarithromycin,0.5,3.52,0.7284764358443131,noise_free_synthetic_assay
Clarithromycin,0.5,3.56,0.7258586355430395,noise_free_synthetic_assay
Clarithromycin,0.5,3.6,0.7232502423798424,noise_free_synthetic_assay
Clarithromycin,0.5,3.64,0.7206512225499097,noise_free_synthetic_assay
Clarithromycin,0.5,3.68,0.718061542369908,noise_free_synthetic_assay
Clarithromycin,0.5,3.72,0.715481168277546,noise_free_synthetic_assay
Clarithromycin,0.5,3.7600000000000002,0.7129100668311393,noise_free_synthetic_assay
Clarithromycin,0.5,3.8000000000000003,0.7103482047091773,noise_free_synthetic_assay
Clarithromycin,0.5,3.84,0.7077955487098908,noise_free_synthetic_assay
Clarithromycin,0.5,3.88,0.7052520657508226,noise_free_synthetic_assay
Clarithromycin,0.5,3.92,0.7027177228683976,noise_free_synthetic_assay
Clarithromycin,0.5,3.96,0.7001924872174969,noise_free_synthetic_assay
Clarithromycin,0.5,4.0,0.697676326071031,noise_free_synthetic_assay
Clarithromycin,2.0,0.0,1.0,noise_free_synthetic_assay
Clarithromycin,2.0,0.04,0.9910403787728836,noise_free_synthetic_assay
Clarithromycin,2.0,0.08,0.9821610323583008,noise_free_synthetic_assay
Clarithromycin,2.0,0.12,0.9733612415243368,noise_free_synthetic_assay
Clarithromycin,2.0,0.16,0.9646402934831231,noise_free_synthetic_assay
Clarithromycin,2.0,0.2,0.9559974818330998,noise_free_synthetic_assay
Clarithromycin,2.0,0.24,0.9474321065017983,noise_free_synthetic_assay
Clarithromycin,2.0,0.28,0.9389434736891332,noise_free_synthetic_assay
Clarithromycin,2.0,0.32,0.9305308958112057,noise_free_synthetic_assay
Clarithromycin,2.0,0.36,0.922193691444608,noise_free_synthetic_assay
Clarithromycin,2.0,0.4,0.9139311852712282,noise_free_synthetic_assay
Clarithromycin,2.0,0.44,0.9057427080235485,noise_free_synthetic_assay
Clarithromycin,2.0,0.48,0.8976275964304349,noise_free_synthetic_assay
Clarithromycin,2.0,0.52,0.8895851931634113,noise_free_synthetic_assay
Clarithromycin,2.0,0.56,0.8816148467834161,noise_free_synthetic_assay
Clarithromycin,2.0,0.6,0.8737159116880344,noise_free_synthetic_assay
Clarithromycin,2.0,0.64,0.865887748059205,noise_free_synthetic_assay
Clarithromycin,2.0,0.68,0.8581297218113938,noise_free_synthetic_assay
Clarithromycin,2.0,0.72,0.850441204540233,noise_free_synthetic_assay
Clarithromycin,2.0,0.76,0.8428215734716199,noise_free_synthetic_assay
Clarithromycin,2.0,0.8,0.835270211411272,noise_free_synthetic_assay
Clarithromycin,2.0,0.84,0.8277865066947336,noise_free_synthetic_assay
Clarithromycin,2.0,0.88,0.8203698531378311,noise_free_synthetic_assay
Clarithromycin,2.0,0.92,0.813019649987571,noise_free_synthetic_assay
Clarithromycin,2.0,0.96,0.8057353018734796,noise_free_synthetic_assay
Clarithromycin,2.0,1.0,0.7985162187593771,noise_free_synthetic_assay
Clarithromycin,2.0,1.04,0.7913618158955839,noise_free_synthetic_assay
Clarithromycin,2.0,1.08,0.7842715137715565,noise_free_synthetic_assay
Clarithromycin,2.0,1.12,0.7772447380689461,noise_free_synthetic_assay
Clarithromycin,2.0,1.16,0.7702809196150792,noise_free_synthetic_assay
Clarithromycin,2.0,1.2,0.7633794943368531,noise_free_synthetic_assay
Clarithromycin,2.0,1.24,0.7565399032150474,noise_free_synthetic_assay
Clarithromycin,2.0,1.28,0.7497615922390413,noise_free_synthetic_assay
Clarithromycin,2.0,1.32,0.7430440123619398,noise_free_synthetic_assay
Clarithromycin,2.0,1.36,0.7363866194561001,noise_free_synthetic_assay
Clarithromycin,2.0,1.4000000000000001,0.7297888742690568,noise_free_synthetic_assay
Clarithromycin,2.0,1.44,0.7232502423798424,noise_free_synthetic_assay
Clarithromycin,2.0,1.48,0.716770194155699,noise_free_synthetic_assay
Clarithromycin,2.0,1.52,0.7103482047091773,noise_free_synthetic_assay
Clarithromycin,2.0,1.56,0.7039837538556208,noise_free_synthetic_assay
Clarithromycin,2.0,1.6,0.697676326071031,noise_free_synthetic_assay
Clarithromycin,2.0,1.6400000000000001,0.6914254104503085,noise_free_synthetic_assay
Clarithromycin,2.0,1.68,0.6852305006658703,noise_free_synthetic_assay
Clarithromycin,2.0,1.72,0.6790910949266368,noise_free_synthetic_assay
Clarithromycin,2.0,1.76,0.6730066959373864,noise_free_synthetic_assay
Clarithromycin,2.0,1.8,0.6669768108584744,noise_free_synthetic_assay
Clarithromycin,2.0,1.84,0.6610009512659124,noise_free_synthetic_assay
Clarithromycin,2.0,1.8800000000000001,0.6550786331118063,noise_free_synthetic_assay
Clarithromycin,2.0,1.92,0.6492093766851474,noise_free_synthetic_assay
Clarithromycin,2.0,1.96,0.6433927065729562,noise_free_synthetic_assay
Clarithromycin,2.0,2.0,0.6376281516217733,noise_free_synthetic_assay
Clarithromycin,2.0,2.04,0.6319152448994959,noise_free_synthetic_assay
Clarithromycin,2.0,2.08,0.6262535236575559,noise_free_synthetic_assay
Clarithromycin,2.0,2.12,0.6206425292934373,noise_free_synthetic_assay
Clarithromycin,2.0,2.16,0.6150818073135287,noise_free_synthetic_assay
Clarithromycin,2.0,2.2,0.6095709072963093,noise_free_synthetic_assay
Clarithromycin,2.0,2.24,0.6041093828558647,noise_free_synthetic_assay
Clarithromycin,2.0,2.2800000000000002,0.5986967916057291,noise_free_synthetic_assay
Clarithromycin,2.0,2.32,0.593332695123052,noise_free_synthetic_assay
Clarithromycin,2.0,2.36,0.5880166589130854,noise_free_synthetic_assay
Clarithromycin,2.0,2.4,0.5827482523739896,noise_free_synthetic_assay
